amplicon	ERR0000001	ERR0000002	ERR0000003	total
ERR2:196630.740994	0	3	0	3
ERR2:198360.711015	0	3	0	3
ERR2:19870.698667	0	3	0	3
ERR2:207030.721589	0	3	0	3
ERR2:207150.734611	0	3	0	3
ERR2:207770.644841	0	3	0	3
ERR2:208070.726570	0	3	0	3
ERR2:208570.737993	0	3	0	3
ERR2:211650.743119	0	3	0	3
ERR2:212500.735341	0	3	0	3
ERR2:212560.737616	0	3	0	3
ERR2:213350.733333	0	3	0	3
ERR2:215110.728254	0	3	0	3
ERR2:217370.709822	0	3	0	3
ERR2:220080.738081	0	3	0	3
ERR2:220900.724837	0	3	0	3
ERR2:222110.648902	0	3	0	3
ERR2:22390.684795	0	3	0	3
ERR2:224700.715181	0	3	0	3
ERR2:22870.720929	0	3	0	3
ERR2:231800.729859	0	3	0	3
ERR2:240870.724728	0	3	0	3
ERR2:24190.721150	0	3	0	3
ERR2:242870.724131	0	3	0	3
ERR2:243710.715299	0	3	0	3
ERR2:24840.728407	0	3	0	3
ERR2:250410.723750	0	3	0	3
ERR2:252040.716857	0	3	0	3
ERR2:252230.718713	0	3	0	3
ERR2:255200.719975	0	3	0	3
ERR2:25560.742086	0	3	0	3
ERR2:257310.722289	0	3	0	3
ERR2:257750.723027	0	3	0	3
ERR2:258030.727289	0	3	0	3
ERR2:258960.734576	0	3	0	3
ERR2:259600.722260	0	3	0	3
ERR2:260470.686313	0	3	0	3
ERR2:260700.711133	0	3	0	3
ERR2:261510.730964	0	3	0	3
ERR2:2630.728985	0	3	0	3
ERR2:263200.729262	0	3	0	3
ERR2:263480.705082	0	3	0	3
ERR2:26810.699523	0	3	0	3
ERR2:277600.737590	0	3	0	3
ERR2:278030.731688	0	3	0	3
ERR2:278200.741099	0	3	0	3
ERR2:278600.731339	0	3	0	3
ERR2:282590.726575	0	3	0	3
ERR2:283390.715501	0	3	0	3
ERR2:283650.732667	0	3	0	3
ERR2:287140.725240	0	3	0	3
ERR2:294190.704431	0	3	0	3
ERR2:303850.718835	0	3	0	3
ERR2:304690.717583	0	3	0	3
ERR2:305730.729784	0	3	0	3
ERR2:30940.732185	0	3	0	3
ERR2:313710.680468	0	3	0	3
ERR2:31650.702753	0	3	0	3
ERR2:317500.743357	0	3	0	3
ERR2:317770.735733	0	3	0	3
ERR2:322440.730163	0	3	0	3
ERR2:324560.729944	0	3	0	3
ERR2:324590.682499	0	3	0	3
ERR2:33720.726796	0	3	0	3
ERR2:344770.728073	0	3	0	3
ERR2:347130.725388	0	3	0	3
ERR2:352380.720767	0	3	0	3
ERR2:355700.726914	0	3	0	3
ERR2:357390.681829	0	3	0	3
ERR2:358000.664220	0	3	0	3
ERR2:360910.731869	0	3	0	3
ERR2:364560.739640	0	3	0	3
ERR2:36470.727716	0	3	0	3
ERR2:368100.716054	0	3	0	3
ERR2:368770.722508	0	3	0	3
ERR2:371320.740824	0	3	0	3
ERR2:371510.732329	0	3	0	3
ERR2:371780.732617	0	3	0	3
ERR2:386330.712959	0	3	0	3
ERR2:388330.737515	0	3	0	3
ERR2:409650.732267	0	3	0	3
ERR2:415380.694782	0	3	0	3
ERR2:420470.701225	0	3	0	3
ERR2:420680.694295	0	3	0	3
ERR2:421470.717593	0	3	0	3
ERR2:43030.706976	0	3	0	3
ERR2:446440.693228	0	3	0	3
ERR2:447480.738108	0	3	0	3
ERR2:450440.730255	0	3	0	3
ERR2:455210.725407	0	3	0	3
ERR2:45900.677755	0	3	0	3
ERR2:471400.730431	0	3	0	3
ERR2:47270.697344	0	3	0	3
ERR2:480900.719588	0	3	0	3
ERR2:48090.707189	0	3	0	3
ERR2:494870.731056	0	3	0	3
ERR2:505770.729351	0	3	0	3
ERR2:510270.700347	0	3	0	3
ERR2:527980.728307	0	3	0	3
ERR2:530.751729	0	3	0	3
ERR2:532650.701993	0	3	0	3
ERR2:538670.708823	0	3	0	3
ERR2:557130.730437	0	3	0	3
ERR2:571920.742113	0	3	0	3
ERR2:573210.738299	0	3	0	3
ERR2:57930.740945	0	3	0	3
ERR2:58010.734370	0	3	0	3
ERR2:58370.740819	0	3	0	3
ERR2:59600.724822	0	3	0	3
ERR2:600830.738433	0	3	0	3
ERR2:60190.731584	0	3	0	3
ERR2:611290.727336	0	3	0	3
ERR2:611300.710181	0	3	0	3
ERR2:61910.736572	0	3	0	3
ERR2:62560.729801	0	3	0	3
ERR2:63620.679771	0	3	0	3
ERR2:67990.721937	0	3	0	3
ERR2:70640.701031	0	3	0	3
ERR2:73550.740389	0	3	0	3
ERR2:75130.723376	0	3	0	3
