OTU	amplicon	ERR0000001	total
1479	ERR1:1039410.669224	1	1
1480	ERR1:1039430.601045	1	1
1481	ERR1:1039450.683678	1	1
1482	ERR1:1039470.706098	1	1
1483	ERR1:1039510.638376	1	1
1484	ERR1:1039520.733598	1	1
1485	ERR1:1039530.630126	2	2
1486	ERR1:1039550.616862	1	1
1487	ERR1:1039590.655000	1	1
1488	ERR1:1039610.695863	2	2
1489	ERR1:1039650.700185	1	1
1492	ERR1:1039860.626530	1	1
1497	ERR1:1040010.601070	1	1
1498	ERR1:1040060.655237	1	1
1502	ERR1:1040150.615351	1	1
1504	ERR1:1040200.614345	1	1
1507	ERR1:1040300.618092	1	1
1508	ERR1:1040330.716192	1	1
1509	ERR1:1040340.667612	1	1
1510	ERR1:1040360.701084	1	1
1511	ERR1:1040410.699553	1	1
1515	ERR1:1040550.600541	1	1
1518	ERR1:1040610.710260	2	2
1519	ERR1:1040690.680383	1	1
1523	ERR1:1040970.708363	1	1
1524	ERR1:1040990.628677	2	2
1526	ERR1:1041020.734566	2	2
1529	ERR1:1041160.666201	1	1
1531	ERR1:1041190.679011	1	1
1536	ERR1:1041320.679828	1	1
1538	ERR1:1041380.722747	1	1
1541	ERR1:1041500.720674	1	1
1542	ERR1:1041530.640066	1	1
1543	ERR1:1041580.632642	1	1
1545	ERR1:1041630.660377	1	1
1546	ERR1:1041680.733329	1	1
1550	ERR1:1041800.639932	1	1
1551	ERR1:1041890.684723	2	2
1553	ERR1:1041900.704805	1	1
1555	ERR1:1041970.685413	1	1
1556	ERR1:10420.637048	1	1
1559	ERR1:1042090.693117	1	1
1562	ERR1:1042120.644410	2	2
1566	ERR1:1042280.608413	1	1
1567	ERR1:1042300.707520	1	1
1568	ERR1:1042350.733438	1	1
1569	ERR1:1042390.631608	1	1
1570	ERR1:1042410.685954	1	1
1571	ERR1:1042450.653364	1	1
1572	ERR1:1042530.673103	1	1
1573	ERR1:1042550.667225	1	1
1574	ERR1:1042560.674520	1	1
1575	ERR1:1042590.640153	1	1
1577	ERR1:1042630.696874	1	1
1578	ERR1:1042640.643135	2	2
1580	ERR1:1042670.668956	2	2
1581	ERR1:1042710.685028	1	1
1582	ERR1:1042720.641706	1	1
1583	ERR1:1042750.644565	1	1
1590	ERR1:104320.668438	1	1
1591	ERR1:1043210.659789	1	1
1592	ERR1:1043220.677142	1	1
1595	ERR1:1043370.661939	1	1
1596	ERR1:1043440.603444	1	1
1597	ERR1:1043460.685699	1	1
1599	ERR1:1043520.653541	1	1
1600	ERR1:1043560.607255	1	1
1601	ERR1:1043580.612598	1	1
1602	ERR1:104360.699477	1	1
1606	ERR1:1043780.645006	1	1
1607	ERR1:1043790.607010	1	1
1608	ERR1:1043890.681863	1	1
1612	ERR1:1044030.642260	1	1
1614	ERR1:1044100.661870	1	1
1618	ERR1:1044290.644411	2	2
1619	ERR1:1044320.724243	1	1
1620	ERR1:1044390.636988	1	1
1624	ERR1:104460.618930	1	1
1628	ERR1:1044780.731911	2	2
1629	ERR1:1044840.648186	1	1
1630	ERR1:10450.603797	1	1
1633	ERR1:1045080.610672	1	1
1634	ERR1:1045100.726224	1	1
1635	ERR1:1045150.684027	2	2
1636	ERR1:1045240.647746	1	1
1641	ERR1:1045340.673131	1	1
1643	ERR1:1045390.712051	1	1
1646	ERR1:1045450.674447	1	1
1648	ERR1:104550.720272	2	2
1649	ERR1:1045510.723811	1	1
1650	ERR1:1045570.678370	1	1
1652	ERR1:1045650.696185	1	1
1656	ERR1:1045810.637995	2	2
1657	ERR1:1045930.622062	1	1
1658	ERR1:1045950.722121	1	1
1661	ERR1:1046020.628955	2	2
1662	ERR1:1046030.661308	1	1
1665	ERR1:1046180.742101	1	1
1666	ERR1:1046190.727236	1	1
1667	ERR1:1046220.628029	1	1
1670	ERR1:1046290.721652	1	1
1672	ERR1:1046350.604825	1	1
1673	ERR1:1046420.663365	1	1
1674	ERR1:1046460.663590	1	1
1677	ERR1:1046540.730869	1	1
1678	ERR1:1046560.695810	1	1
1683	ERR1:1046700.607222	1	1
1690	ERR1:1046920.655562	1	1
1692	ERR1:1046950.668557	2	2
1693	ERR1:1047030.700457	1	1
1695	ERR1:1047150.686325	1	1
1697	ERR1:1047310.606764	1	1
1701	ERR1:1047390.603646	1	1
1702	ERR1:1047400.688234	1	1
1703	ERR1:1047410.630295	1	1
1704	ERR1:1047430.640656	1	1
1705	ERR1:1047440.676104	1	1
1707	ERR1:1047510.688140	1	1
1708	ERR1:1047530.709999	2	2
1712	ERR1:1047710.629748	1	1
1713	ERR1:1047720.683966	1	1
1715	ERR1:1047770.696937	1	1
1720	ERR1:1047870.692063	1	1
1722	ERR1:1047960.606572	2	2
1724	ERR1:1048070.624560	2	2
1725	ERR1:1048080.680436	1	1
1728	ERR1:1048170.703132	1	1
1729	ERR1:1048190.684767	1	1
1730	ERR1:1048210.685246	2	2
1731	ERR1:1048290.635360	1	1
1733	ERR1:1048340.672453	1	1
1736	ERR1:1048530.628359	2	2
1738	ERR1:1048620.651412	1	1
1739	ERR1:1048660.652497	1	1
1740	ERR1:1048670.705520	1	1
1742	ERR1:1048700.604683	1	1
1743	ERR1:1048740.710073	1	1
1744	ERR1:1048840.629880	1	1
1745	ERR1:1048860.727837	1	1
1746	ERR1:1048900.614714	2	2
1747	ERR1:10490.631236	2	2
1748	ERR1:1049020.658302	1	1
1749	ERR1:1049050.705675	2	2
1750	ERR1:1049070.698326	1	1
